ID,X,Y,ConstructionCost
159,4491037.002,5315418.196,10502818.64
160,4458954.869,5315837.897,21843827.16
161,4440059.679,5324531.393,20469159.46
162,4465392.865,5403353.657,7162805.719
163,4515491.486,5300343.157,9847703.569
164,4413185.394,5338024.246,10867964.75
165,4479036.765,5330263.543,21843827.16
166,4469239.182,5329830.174,45556844.97
167,4515371.608,5308511.946,9847703.569
168,4417380.823,5356173.581,13939487.89
169,4508996.979,5357273.652,14626821.74
170,4469329.532,5431886.111,7195024.493
171,4511163.699,5316394.787,9847703.569
172,4470915.029,5373051.461,9332203.182
173,4518909.446,5372792.958,10116193.35
174,4504615.488,5301021.712,9847703.569
175,4444054.145,5337923.662,16516989.83
176,4430443.761,5398543.679,7753483.246
177,4403998.217,5365378.944,10867964.75
178,4431649.394,5323770.37,10502818.64
179,4454163.485,5339062.325,16516989.83
180,4505547.616,5342217.338,14626821.74
181,4414253.92,5372301.68,10867964.75
182,4531103.125,5377662.147,10116193.35
183,4452930.005,5421176.912,7162805.719
184,4425171.357,5358806.283,8226025.268
185,4521315.818,5395522.75,10116193.35
186,4500386.128,5314410.266,10502818.64
187,4431403.742,5347687.406,16516989.83
188,4468418.315,5337965.129,45556844.97
189,4420096.922,5361539.948,13939487.89
190,4511155.797,5377561.825,11190152.49
191,4425619.74,5369833.704,8226025.268
192,4416750.789,5361573.813,13939487.89
193,4414828.157,5328815.042,10502818.64
194,4521746.785,5315471.14,9847703.569
195,4458585.068,5400851.129,12564820.19
196,4508301.766,5379038.499,10116193.35
197,4455246.519,5403944.388,12564820.19
198,4510933.796,5323625.274,9847703.569
199,4508489.605,5299991.468,11877486.34
